University Name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,early_career_pay,mid_career_pay,american indian / alaska native,black,hispanic,native hawaiian / pacific islander,asian,two or more races,other,total enrollment
Adams State University,Colorado,CO,Public,Public,4 Year,8782,9440,18222,20456,44400,81400,37,191,812,10,37,126,1941,3154
Agnes Scott College,Georgia,GA,Private,Private,4 Year,12330,41160,53490,41160,46000,83600,1,288,78,2,41,52,411,873
Alabama State University,Alabama,AL,Public,Public,4 Year,5422,11068,16490,19396,39800,71500,8,4950,68,3,20,56,414,5519
Alaska Pacific University,Alaska,AK,Private,Private,4 Year,7300,20830,28130,20830,50300,90000,87,13,15,4,10,41,409,579
Albany College of Pharmacy and Health Sciences,New York,NY,Private,Private,4 Year,10920,35105,46025,35105,81000,144800,4,59,63,2,228,16,1191,1563
Albertus Magnus College,Connecticut,CT,Private,Private,4 Year,13200,32060,45260,32060,49700,85900,6,515,217,2,7,20,783,1550
Albion College,Michigan,MI,Private,Private,4 Year,12380,45775,58155,45775,52100,99300,3,47,46,1,23,33,1115,1268
Alcorn State University,Mississippi,MS,Public,Public,4 Year,9608,7144,16752,7144,40900,69500,3,3386,12,11,10,57,160,3639
Allen College,Iowa,IA,Private,Private,4 Year,7282,19970,27252,19970,51600,91300,0,13,2,2,7,5,546,575
Alma College,Michigan,MI,Private,Private,4 Year,10998,40258,51256,40258,48400,89900,9,46,51,1,21,36,1232,1396
Amherst College,Massachusetts,MA,Private,Private,4 Year,14740,56426,71166,56426,63800,116500,6,222,235,1,234,81,1013,1792
Andrews University,Michigan,MI,Private,Private,4 Year,9078,29288,38366,29288,47600,85000,10,702,458,13,315,71,1849,3418
Appalachian State University,North Carolina,NC,Public,Public,4 Year,8304,7214,15518,22021,46600,82700,44,584,702,11,267,441,15977,18026
Arizona Christian University,Arizona,AZ,Private,Private,4 Year,10674,26796,37470,26796,42600,76600,7,55,114,5,18,34,504,737
Arkansas Tech University,Arkansas,AR,Public,Public,4 Year,7870,9068,16938,15848,45000,76900,121,919,728,8,154,309,9763,12002
Asbury University,Kentucky,KY,Private,Private,4 Year,7160,30198,37358,30198,39400,70800,4,92,40,5,14,99,1625,1879
Auburn University,Alabama,AL,Public,Public,4 Year,13332,11276,24608,30524,54400,104500,183,1886,599,0,601,0,22643,25912
Auburn University at Montgomery,Alabama,AL,Public,Public,4 Year,6980,10288,17268,22048,45000,79600,23,1633,36,9,104,136,3116,5057
Augusta University,Georgia,GA,Public,Public,4 Year,9640,10758,20398,29796,47000,84400,25,1687,398,22,500,328,5028,7988
Austin Peay State University,Tennessee,TN,Public,Public,4 Year,10700,8411,19111,24467,44200,78200,40,1902,575,19,157,514,6904,10111
Avila University,Missouri,MO,Private,Private,4 Year,7200,19900,27100,19900,45900,81200,14,359,125,5,31,43,1330,1907
Babson College,Massachusetts,MA,Private,Private,4 Year,16312,51104,67416,51104,72000,133800,4,119,244,2,274,58,2348,3049
Baker University,Kansas,KS,Private,Private,4 Year,8410,29830,38240,29830,47800,84200,54,281,147,11,43,39,2382,2957
Ball State University,Indiana,IN,Public,Public,4 Year,10234,9896,20130,26468,45600,83700,26,1378,692,24,215,411,17909,20655
Barnard College,New York,NY,Private,Private,4 Year,17225,55032,72257,55032,59200,109800,1,168,286,1,367,133,1617,2573
Barry University,Florida,FL,Private,Private,4 Year,11100,29850,40950,29850,47400,84400,28,2090,2032,12,182,87,4087,8518
Barton College,North Carolina,NC,Private,Private,4 Year,10120,30880,41000,30880,42400,77900,9,245,55,0,12,28,686,1035
Bastyr University,Washington,WA,Private,Private,4 Year,7590,26166,33756,26166,48400,86300,6,43,42,0,121,73,917,1202
Bates College,Maine,ME,Private,Private,4 Year,15224,53794,69018,53794,59500,111900,4,85,120,0,82,72,1410,1773
Baylor University,Texas,TX,Private,Private,4 Year,12595,45727,58322,45727,55500,101400,62,1129,2146,9,939,699,11279,16263
Belhaven University,Mississippi,MS,Private,Private,4 Year,8500,25300,33800,25300,41200,74300,23,2253,144,7,20,61,1606,4114
Bellarmine University,Kentucky,KY,Private,Private,4 Year,12250,42200,54450,42200,49000,90700,9,196,101,5,65,97,3136,3609
Bellevue University,Nebraska,NE,Private,Private,4 Year,8730,9390,18120,9390,49400,84800,49,1168,676,30,214,211,7531,9879
Belmont Abbey College,North Carolina,NC,Private,Private,4 Year,10355,18500,28855,18500,46700,82900,4,391,23,0,15,5,1122,1560
Belmont University,Tennessee,TN,Private,Private,4 Year,12120,34310,46430,34310,47300,80900,16,318,300,7,157,231,6215,7244
Beloit College,Wisconsin,WI,Private,Private,4 Year,8830,50040,58870,50040,47400,85700,5,60,109,3,32,22,1072,1303
Benedict College,South Carolina,SC,Private,Private,4 Year,6200,16600,22800,16600,38100,67500,0,2416,7,0,9,0,12,2444
Benedictine College,Kansas,KS,Private,Private,4 Year,10300,29530,39830,29530,48700,91800,8,70,112,7,26,95,1820,2138
Bennington College,Vermont,VT,Private,Private,4 Year,15610,54360,69970,54360,48800,90000,13,10,38,1,25,23,645,755
Bentley University,Massachusetts,MA,Private,Private,4 Year,16320,49880,66200,49880,66600,116600,4,149,325,0,433,102,4552,5565
Berea College,Kentucky,KY,Private,Private,4 Year,6764,39990,46754,39990,39500,71600,2,242,95,3,26,88,1165,1621
