university_name,state,state_abbv,type,degree_length,room_and_board,In-State Tuition,in_state_total,Out-of-State Tuition,out_of_state_total,Early Career Pay,Mid Career Pay,american indian / alaska native,black,hispanic,native hawaiian / pacific islander,asian,two or more races,other,total enrollment,,american indian / alaska native,black,hispanic,native hawaiian / pacific islander,asian,two or more races,other,,state_code,avg_tuition_oos,avg_tuition_is,avg_early_pay,avg_mid_pay
Adams State University,Colorado,CO,Public,Public,4 Year,8782,9440,18222,20456,44400,81400,37,191,812,10,37,126,1941,3154,,1.17%,6.06%,25.75%,0.32%,1.17%,3.99%,61.54%,,AL,25699,8878,44367,80800
Agnes Scott College,Georgia,GA,Private,Private,4 Year,12330,41160,53490,41160,46000,83600,1,288,78,2,41,52,411,873,,0.11%,32.99%,8.93%,0.23%,4.70%,5.96%,47.08%,,AK,28130,7300,50300,90000
Alabama State University,Alabama,AL,Public,Public,4 Year,5422,11068,16490,19396,39800,71500,8,4950,68,3,20,56,414,5519,,0.14%,89.69%,1.23%,0.05%,0.36%,1.01%,7.50%,,AZ,30885,10302,47375,85275
Alaska Pacific University,Alaska,AK,Private,Private,4 Year,7300,20830,28130,20830,50300,90000,87,13,15,4,10,41,409,579,,15.03%,2.25%,2.59%,0.69%,1.73%,7.08%,70.64%,,AR,26187,8184,43271,77564
Albany College of Pharmacy and Health Sciences,New York,NY,Private,Private,4 Year,10920,35105,46025,35105,81000,144800,4,59,63,2,228,16,1191,1563,,0.26%,3.77%,4.03%,0.13%,14.59%,1.02%,76.20%,,CA,63155,15498,67800,124877
Albertus Magnus College,Connecticut,CT,Private,Private,4 Year,13200,32060,45260,32060,49700,85900,6,515,217,2,7,20,783,1550,,0.39%,33.23%,14.00%,0.13%,0.45%,1.29%,50.52%,,CO,35381,11252,51970,93160
Albion College,Michigan,MI,Private,Private,4 Year,12380,45775,58155,45775,52100,99300,3,47,46,1,23,33,1115,1268,,0.24%,3.71%,3.63%,0.08%,1.81%,2.60%,87.93%,,CT,46436,13808,54627,98487
Alcorn State University,Mississippi,MS,Public,Public,4 Year,9608,7144,16752,7144,40900,69500,3,3386,12,11,10,57,160,3639,,0.08%,93.05%,0.33%,0.30%,0.27%,1.57%,4.40%,,DE,25767,10484,51567,91400
Allen College,Iowa,IA,Private,Private,4 Year,7282,19970,27252,19970,51600,91300,0,13,2,2,7,5,546,575,,0.00%,2.26%,0.35%,0.35%,1.22%,0.87%,94.96%,,FL,36891,11891,50587,91300
Alma College,Michigan,MI,Private,Private,4 Year,10998,40258,51256,40258,48400,89900,9,46,51,1,21,36,1232,1396,,0.64%,3.30%,3.65%,0.07%,1.50%,2.58%,88.25%,,GA,34003,11239,48850,87305
Amherst College,Massachusetts,MA,Private,Private,4 Year,14740,56426,71166,56426,63800,116500,6,222,235,1,234,81,1013,1792,,0.33%,12.39%,13.11%,0.06%,13.06%,4.52%,56.53%,,HI,32970,13279,47200,84900
Andrews University,Michigan,MI,Private,Private,4 Year,9078,29288,38366,29288,47600,85000,10,702,458,13,315,71,1849,3418,,0.29%,20.54%,13.40%,0.38%,9.22%,2.08%,54.10%,,ID,20131,8352,48860,86820
