university name,American Indian,Black,Hispanic,Pacific Islander,Asian,2+ races,Other,Total Enrollment
Adams State University,37,191,812,10,37,126,1941,3154
Agnes Scott College,1,288,78,2,41,52,411,873
Alabama State University,8,4950,68,3,20,56,414,5519
Alaska Pacific University,87,13,15,4,10,41,409,579
Albany College of Pharmacy and Health Sciences,4,59,63,2,228,16,1191,1563
Albertus Magnus College,6,515,217,2,7,20,783,1550
Albion College,3,47,46,1,23,33,1115,1268
Alcorn State University,3,3386,12,11,10,57,160,3639
Allen College,0,13,2,2,7,5,546,575
Alma College,9,46,51,1,21,36,1232,1396
Amherst College,6,222,235,1,234,81,1013,1792
Andrews University,10,702,458,13,315,71,1849,3418
Appalachian State University,44,584,702,11,267,441,15977,18026
Arizona Christian University,7,55,114,5,18,34,504,737
Arkansas Tech University,121,919,728,8,154,309,9763,12002
Asbury University,4,92,40,5,14,99,1625,1879
Auburn University,183,1886,599,0,601,0,22643,25912
Auburn University at Montgomery,23,1633,36,9,104,136,3116,5057
Augusta University,25,1687,398,22,500,328,5028,7988
Austin Peay State University,40,1902,575,19,157,514,6904,10111
Avila University,14,359,125,5,31,43,1330,1907
Babson College,4,119,244,2,274,58,2348,3049
Baker University,54,281,147,11,43,39,2382,2957
Ball State University,26,1378,692,24,215,411,17909,20655
Barnard College,1,168,286,1,367,133,1617,2573
Barry University,28,2090,2032,12,182,87,4087,8518
Barton College,9,245,55,0,12,28,686,1035
Bastyr University,6,43,42,0,121,73,917,1202
Bates College,4,85,120,0,82,72,1410,1773
Baylor University,62,1129,2146,9,939,699,11279,16263
Belhaven University,23,2253,144,7,20,61,1606,4114
Bellarmine University,9,196,101,5,65,97,3136,3609
Bellevue University,49,1168,676,30,214,211,7531,9879
Belmont Abbey College,4,391,23,0,15,5,1122,1560
Belmont University,16,318,300,7,157,231,6215,7244
Beloit College,5,60,109,3,32,22,1072,1303
Benedict College,0,2416,7,0,9,0,12,2444
Benedictine College,8,70,112,7,26,95,1820,2138
Bennington College,13,10,38,1,25,23,645,755
Bentley University,4,149,325,0,433,102,4552,5565
Berea College,2,242,95,3,26,88,1165,1621
Berry College,2,93,134,3,26,62,1857,2177
Black Hills State University,154,41,166,10,22,143,3953,4489
Bloomfield College,12,1044,484,8,56,11,389,2004
Boise State University,132,357,2149,71,436,697,18385,22227
Boston College,15,575,1238,1,1144,375,10969,14317
Boston University,27,1190,2419,34,3448,868,24126,32112
Bowdoin College,2,88,229,0,114,117,1255,1805
Bowie State University,6,4751,147,9,81,168,533,5695
Bradley University,10,245,282,5,144,69,4545,5300
